Sample Size,0.9,0.95,0.99
  2,32.019,37.674,48.43
  3, 8.380, 9.916,12.861
  4, 5.369, 6.370, 8.299
  5, 4.275, 5.079, 6.634
  6, 3.712, 4.414, 5.775
  7, 3.369, 4.007, 5.248
  8, 3.136, 3.732, 4.891
  9, 2.967, 3.532, 4.631
 10, 2.839, 3.379, 4.433
 11, 2.737, 3.259, 4.277
 12, 2.655, 3.162, 4.150
 13, 2.587, 3.081, 4.044
 14, 2.529, 3.012, 3.955
 15, 2.480, 2.954, 3.878
 16, 2.437, 2.903, 3.812
 17, 2.400, 2.858, 3.754
 18, 2.366, 2.819, 3.702
 19, 2.337, 2.784, 3.656
 20, 2.310, 2.752, 3.615
 21, 2.286, 2.723, 3.577
 22, 2.264, 2.697, 3.543
 23, 2.244, 2.673, 3.512
 24, 2.225, 2.651, 3.483
 25, 2.208, 2.631, 3.457
 30, 2.140, 2.529, 3.350
 40, 2.052, 2.445, 3.213
 50, 1.996, 2.379, 3.126
 60, 1.958, 2.333, 3.066
 70, 1.929, 2.299, 3.021
 80, 1.907, 2.272, 2.986
 90, 1.889, 2.251, 2.958
100, 1.874, 2.233, 2.934
