Sample Size,0.9,0.95,0.99
  2,160.193,188.491,242.3
  3, 18.930, 22.401, 29.055
  4,  9.398, 11.150, 14.527
  5,  6.612,  7.855, 10.260
  6,  5.337,  6.345,  8.301
  7,  4.613,  5.488,  7.187
  8,  4.147,  4.936,  6.468
  9,  3.822,  4.550,  5.966
 10,  3.582,  4.265,  5.594
 11,  3.397,  4.045,  5.308
 12,  3.250,  3.870,  5.079
 13,  3.130,  3.727,  4.893
 14,  3.029,  3.608,  4.737
 15,  2.945,  3.507,  4.605
 16,  2.872,  3.421,  4.492
 17,  2.808,  3.345,  4.393
 18,  2.753,  3.279,  4.307
 19,  2.703,  3.221,  4.230
 20,  2.659,  3.168,  4.161
 21,  2.620,  3.121,  4.100
 22,  2.584,  3.078,  4.044
 23,  2.551,  3.040,  3.993
 24,  2.522,  3.004,  3.947
 25,  2.494,  2.972,  3.904
 30,  2.385,  2.841,  3.733
 40,  2.247,  2.677,  3.518
 50,  2.162,  2.576,  3.385
 60,  2.103,  2.506,  3.293
 70,  2.060,  2.454,  3.225
 80,  2.026,  2.414,  3.173
 90,  1.999,  2.382,  3.130
100,  1.977,  2.355,  3.096
